Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
126,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,31-046,1993,27,27,2339,26.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0
127,Adu Ares,es ESP,FW,Athletic Club,es La Liga,22-184,2001,10,1,189,2.1,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,8,3,32
128,Jesús Areso,es ESP,DF,Osasuna,es La Liga,24-286,1999,29,22,2038,22.6,1,4,5,1,0,0,3,0,0.1,0.1,2.8,2.9,52,81,130
129,Matias Arezo,uy URU,FW,Granada,es La Liga,21-144,2002,9,2,241,2.7,0,0,0,0,0,0,1,0,0.5,0.5,0.1,0.5,4,2,10
130,Iñigo Arguibide,es ESP,DF,Osasuna,es La Liga,18-360,2005,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
131,Yoël Armougom,fr FRA,"DF,MF",Clermont Foot,fr Ligue 1,25-313,1998,5,2,234,2.6,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,6,12,25
132,José Arnaiz,es ESP,"FW,MF",Osasuna,es La Liga,28-364,1995,20,7,702,7.8,2,1,3,2,0,0,2,0,1.6,1.6,1.7,3.3,12,9,60
133,Hákon Arnar Haraldsson,is ISL,"FW,MF",Lille,fr Ligue 1,21-003,2003,20,10,903,10.0,1,0,1,1,0,0,3,0,0.4,0.4,1.4,1.8,20,38,57
134,Marko Arnautović,at AUT,FW,Inter,it Serie A,34-360,1989,22,3,618,6.9,2,3,5,2,0,0,0,0,3.5,3.5,2.5,6.0,7,15,60
135,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,29-322,1994,24,21,1967,21.9,1,0,1,1,0,0,8,0,0.8,0.8,3.1,3.9,16,112,14
136,Mohamed El Arouch,fr FRA,FW,Lyon,fr Ligue 1,20-007,2004,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
137,Sergio Arribas,es ESP,"MF,FW",Almería,es La Liga,22-196,2001,29,20,1796,20.0,6,3,9,6,0,0,0,0,7.0,7.0,3.0,10.0,46,69,80
138,Kepa Arrizabalaga,es ESP,GK,Real Madrid,es La Liga,29-193,1994,12,12,1080,12.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0
139,Arthur,br BRA,DF,Leverkusen,de Bundesliga,21-027,2003,2,0,34,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,4
140,Takuma Asano,jp JPN,"FW,MF",Bochum,de Bundesliga,29-155,1994,24,23,1801,20.0,6,1,7,6,0,0,2,0,6.3,6.3,1.2,7.5,49,29,139
141,Marco Asensio,es ESP,"MF,FW",Paris S-G,fr Ligue 1,28-083,1996,14,9,792,8.8,4,3,7,4,0,0,0,0,2.7,2.7,3.3,6.0,26,48,66
142,Kristjan Asllani,al ALB,MF,Inter,it Serie A,22-035,2002,18,4,566,6.3,1,2,3,1,0,0,1,0,0.5,0.5,0.8,1.3,2,21,7
