,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 37_level_0
,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
81,79,Dele Alli,eng ENG,MF,Everton,eng Premier League,26,1996,2,0,40,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
82,80,Domingos André Ribeiro Almeida,pt POR,MF,Valencia,es La Liga,22,2000,34,29,2539,28.2,2,4,6,2,0,0,3,0,1.4,1.4,3.4,4.9,74,197,71,0.07,0.14,0.21,0.07,0.21,0.05,0.12,0.17,0.05,0.17,Matches
83,81,Miguel Almirón,py PAR,FW,Newcastle Utd,eng Premier League,28,1994,34,29,2491,27.7,11,2,13,11,0,0,2,0,8.0,8.0,3.2,11.1,77,124,264,0.40,0.07,0.47,0.40,0.47,0.29,0.11,0.40,0.29,0.40,Matches
84,82,Marcos Alonso,es ESP,DF,Barcelona,es La Liga,31,1990,24,11,1172,13.0,1,0,1,1,0,0,3,0,0.9,0.9,0.3,1.2,26,71,12,0.08,0.00,0.08,0.08,0.08,0.07,0.03,0.09,0.07,0.09,Matches
85,83,Mickaël Alphonse,gp GLP,DF,Ajaccio,fr Ligue 1,33,1989,26,14,1361,15.1,0,0,0,0,0,0,2,1,0.5,0.5,0.7,1.2,30,51,34,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.08,0.03,0.08,Matches
86,84,Éder Álvarez Balanta,co COL,"MF,FW",Schalke 04,de Bundesliga,29,1993,6,3,238,2.6,0,0,0,0,0,0,3,0,0.1,0.1,0.3,0.4,3,12,0,0.00,0.00,0.00,0.00,0.00,0.05,0.10,0.15,0.05,0.15,Matches
87,85,Carlos Álvarez,es ESP,MF,Sevilla,es La Liga,18,2003,1,0,10,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
88,86,Gastón Álvarez,uy URU,DF,Getafe,es La Liga,22,2000,22,16,1501,16.7,2,0,2,2,0,0,7,1,0.5,0.5,0.2,0.8,11,38,27,0.12,0.00,0.12,0.12,0.12,0.03,0.01,0.05,0.03,0.05,Matches
89,87,Julián Álvarez,ar ARG,"FW,MF",Manchester City,eng Premier League,22,2000,31,13,1465,16.3,9,0,9,8,1,1,0,0,7.0,6.2,1.8,8.0,38,37,99,0.55,0.00,0.55,0.49,0.49,0.43,0.11,0.54,0.38,0.49,Matches
90,88,Agustín Álvarez Martínez,uy URU,"FW,MF",Sassuolo,it Serie A,21,2001,22,1,368,4.1,1,1,2,1,0,0,1,0,1.5,1.5,0.4,1.9,2,6,19,0.24,0.24,0.49,0.24,0.49,0.36,0.10,0.46,0.36,0.46,Matches
